"","COP","CVX","XOM","XLE","SPY"
"1999-12-31",7.72854375839233,16.1376781463623,17.5148773193359,6.74042701721191,92.0334854125977
"2000-01-03",7.45105743408203,15.5787982940674,17.0257053375244,6.6082615852356,91.1327743530273
"2000-01-04",7.30717277526855,15.5787982940674,16.6995983123779,6.4838695526123,87.5689392089844
"2000-01-05",7.17356967926025,15.8582496643066,17.6099891662598,6.65490531921387,87.7255172729492
"2000-01-06",7.42022657394409,16.5335578918457,18.5203838348389,6.91146183013916,86.3156585693359
"2000-01-07",7.42022657394409,16.8246383666992,18.466028213501,6.98531818389893,91.3285522460938
"2000-01-10",7.39967346191406,16.3705520629883,18.2078609466553,6.92701244354248,91.6418762207031
"2000-01-11",7.38939094543457,16.2191867828369,18.2622146606445,6.93478679656982,90.5452728271484
"2000-01-12",7.24551248550415,16.1609687805176,18.1535034179688,6.90368843078613,89.6445388793945
"2000-01-13",7.25578594207764,16.3123226165771,18.5747337341309,7.02419137954712,90.8586502075195
"2000-01-14",7.19412755966187,16.207540512085,18.2078609466553,6.9814281463623,92.0922775268555
"2000-01-18",7.30717277526855,16.6383419036865,18.4252700805664,7.06694841384888,91.3677291870117
"2000-01-19",7.24551248550415,16.3821849822998,18.6019115447998,7.04362964630127,92.1118545532227
"2000-01-20",7.03996562957764,16.3006896972656,18.194278717041,7.04362964630127,90.7019500732422
"2000-01-21",7.01941251754761,16.4986133575439,18.4796199798584,7.23798894882202,90.5061340332031
"2000-01-24",6.86525106430054,16.5451908111572,18.3165626525879,6.9814281463623,87.9409255981445
"2000-01-25",6.94746685028076,16.4986133575439,18.2758045196533,6.96588706970215,88.939582824707
"2000-01-26",6.77275609970093,16.3472595214844,18.1535034179688,6.85704278945923,88.2347030639648
"2000-01-27",6.65970468521118,15.7068729400635,17.6099891662598,6.71710205078125,87.882209777832
"2000-01-28",6.55693244934082,15.3808650970459,17.1480045318604,6.6393609046936,85.1407928466797
"2000-01-31",6.72136735916138,15.5787982940674,18.0176219940186,6.79484891891479,87.451416015625
"2000-02-01",6.69053363800049,15.4973011016846,18.0855751037598,6.77929496765137,88.3129959106445
"2000-02-02",6.59803771972656,15.3925094604492,18.2214527130127,6.82205724716187,88.3913192749023
"2000-02-03",6.47471332550049,15.1712818145752,17.9089336395264,6.74042701721191,89.7228851318359
"2000-02-04",6.41304922103882,14.6356897354126,17.5828170776367,6.54606199264526,89.3508682250977
"2000-02-07",6.57748365402222,14.7288312911987,17.5556373596191,6.61992025375366,89.2137756347656
"2000-02-08",6.41304922103882,14.5891103744507,17.1615810394287,6.56160974502563,90.4278259277344
"2000-02-09",6.26916742324829,13.972017288208,16.6702213287354,6.34392929077148,88.5283966064453
"2000-02-10",6.24861335754395,14.3096675872803,16.5882434844971,6.47609710693359,88.7046508789062
"2000-02-11",6.15611553192139,13.7857236862183,16.1509971618652,6.39834880828857,86.9031448364258
"2000-02-14",6.18694734573364,13.7507925033569,16.711217880249,6.49942064285278,87.4122467041016
"2000-02-15",6.28971910476685,14.4377527236938,17.3397636413574,6.7715220451355,88.401123046875
"2000-02-16",6.55352020263672,14.6185741424561,17.4900856018066,6.80262041091919,87.0989303588867
"2000-02-17",6.55352020263672,14.6068344116211,17.0254955291748,6.79484891891479,86.648551940918
"2000-02-18",6.42908620834351,14.313286781311,16.3969440460205,6.59660005569458,84.7883224487305
"2000-02-22",6.48093271255493,14.219352722168,16.4925956726074,6.53828907012939,84.5729293823242
"2000-02-23",6.23206329345703,13.7614259719849,16.3149642944336,6.36725282669067,85.5715637207031
"2000-02-24",6.0143027305603,13.4209108352661,15.9186964035034,6.29728364944458,83.8484115600586
"2000-02-25",6.11800098419189,13.35045337677,15.5361089706421,6.17289161682129,83.5448913574219
"2000-02-28",6.15947961807251,14.0079936981201,16.068998336792,6.35948038101196,85.2974395751953
"2000-02-29",6.32539558410645,14.0314884185791,16.465259552002,6.50719356536865,86.1198501586914
"2000-03-01",6.4187159538269,14.1371593475342,16.6292381286621,6.67045164108276,86.7464904785156
"2000-03-02",6.31502246856689,14.219352722168,16.8341941833496,6.79484891891479,86.8051986694336
"2000-03-03",6.32539558410645,14.0079936981201,16.5472526550293,6.68600463867188,88.4305267333984
"2000-03-06",6.38760566711426,13.9023265838623,15.9460220336914,6.64712953567505,87.5689392089844
"2000-03-07",6.71943283081055,15.2174015045166,17.4900856018066,7.1058235168457,85.8750839233398
"2000-03-08",6.7090630531311,15.229151725769,17.4080963134766,6.98920822143555,85.7674255371094
"2000-03-09",6.67795515060425,15.6401090621948,17.5857257843018,6.99698066711426,88.2738342285156
